EmployeeName,JobTitle,Department,Email,BadgeID
Jessica Good,Actuary,Claims,jessica.good@nycinsuranceco.com,NYC275526
Robert Flores,Underwriter,Compliance,robert.flores@nycinsuranceco.com,NYC770817
Peter Rowe,Sales Executive,Underwriting,peter.rowe@nycinsuranceco.com,NYC109443
Rita Ryan,Underwriter,Claims,rita.ryan@nycinsuranceco.com,NYC830774
Adam Shelton,Claims Adjuster,Underwriting,adam.shelton@nycinsuranceco.com,NYC248511
Terry Sparks,Compliance Officer,Client Services,terry.sparks@nycinsuranceco.com,NYC140838
Cynthia Luna,Risk Manager,Client Services,cynthia.luna@nycinsuranceco.com,NYC108867
Jacqueline Flores,Underwriter,Client Services,jacqueline.flores@nycinsuranceco.com,NYC137441
Brianna Smith,Claims Adjuster,Claims,brianna.smith@nycinsuranceco.com,NYC628140
Margaret Gilmore,Actuary,Risk Management,margaret.gilmore@nycinsuranceco.com,NYC786289
Joshua Johnson,Account Manager,Client Services,joshua.johnson@nycinsuranceco.com,NYC483855
Cody Hamilton,Claims Examiner,Compliance,cody.hamilton@nycinsuranceco.com,NYC358750
Joseph Roberts,Client Services Manager,Compliance,joseph.roberts@nycinsuranceco.com,NYC123862
Justin Roberts,Underwriter,Claims,justin.roberts@nycinsuranceco.com,NYC618933
Michelle Turner,Sales Executive,Compliance,michelle.turner@nycinsuranceco.com,NYC102112
Michelle Lawrence,Claims Adjuster,Sales,michelle.lawrence@nycinsuranceco.com,NYC515054
John Kim,Claims Adjuster,Claims,john.kim@nycinsuranceco.com,NYC808290
Jacqueline Frost,Client Services Manager,Compliance,jacqueline.frost@nycinsuranceco.com,NYC912411
Deanna Waters,Risk Analyst,Risk Management,deanna.waters@nycinsuranceco.com,NYC134305
Richard Rodriguez,Underwriter,Claims,richard.rodriguez@nycinsuranceco.com,NYC992198
Ricardo Wyatt,Compliance Officer,Operations,ricardo.wyatt@nycinsuranceco.com,NYC214343
Jason Flores,Insurance Advisor,Sales,jason.flores@nycinsuranceco.com,NYC850835
Michelle Thompson,Compliance Officer,Client Services,michelle.thompson@nycinsuranceco.com,NYC132627
Alex Phillips,Insurance Advisor,Claims,alex.phillips@nycinsuranceco.com,NYC964056
Kathleen Vasquez,Risk Manager,Sales,kathleen.vasquez@nycinsuranceco.com,NYC246222
Robin Welch,Risk Analyst,Client Services,robin.welch@nycinsuranceco.com,NYC611906
Gina Scott,Client Services Manager,Claims,gina.scott@nycinsuranceco.com,NYC643578
Jessica Hernandez,Sales Executive,Sales,jessica.hernandez@nycinsuranceco.com,NYC445831
Michael Pace,Risk Analyst,Compliance,michael.pace@nycinsuranceco.com,NYC388530
Kristi Lambert,Risk Analyst,Claims,kristi.lambert@nycinsuranceco.com,NYC187861
Thomas Foster,Client Services Manager,Operations,thomas.foster@nycinsuranceco.com,NYC344698
Jason Love,Claims Specialist,Operations,jason.love@nycinsuranceco.com,NYC215925
Kristie Nelson,Claims Adjuster,Underwriting,kristie.nelson@nycinsuranceco.com,NYC260775
Barbara Williams,Actuary,Claims,barbara.williams@nycinsuranceco.com,NYC536912
Maria Bates,Policy Administrator,Sales,maria.bates@nycinsuranceco.com,NYC590887
Michael Wheeler,Sales Executive,Risk Management,michael.wheeler@nycinsuranceco.com,NYC459711
Matthew Johnson,Actuary,Risk Management,matthew.johnson@nycinsuranceco.com,NYC146706
Gregory Johnson,Compliance Officer,Claims,gregory.johnson@nycinsuranceco.com,NYC312978
Abigail Williams,Insurance Advisor,Operations,abigail.williams@nycinsuranceco.com,NYC417246
Peter Rivera,Insurance Advisor,Risk Management,peter.rivera@nycinsuranceco.com,NYC644612
Sara Bennett,Account Manager,Compliance,sara.bennett@nycinsuranceco.com,NYC289349
Erica Jefferson,Sales Executive,Client Services,erica.jefferson@nycinsuranceco.com,NYC536377
Jose Rose,Claims Specialist,Sales,jose.rose@nycinsuranceco.com,NYC327875
Victoria Perez,Risk Manager,Underwriting,victoria.perez@nycinsuranceco.com,NYC229939
Jonathan Short,Account Manager,Claims,jonathan.short@nycinsuranceco.com,NYC318186
James Thomas,Risk Analyst,Compliance,james.thomas@nycinsuranceco.com,NYC751154
Eric Fritz,Account Manager,Compliance,eric.fritz@nycinsuranceco.com,NYC899376
Richard Jenkins,Claims Examiner,Compliance,richard.jenkins@nycinsuranceco.com,NYC609930
Douglas Vega,Risk Analyst,Client Services,douglas.vega@nycinsuranceco.com,NYC994262
Patrick Miller,Policy Administrator,Claims,patrick.miller@nycinsuranceco.com,NYC527071
David Wilson,Risk Analyst,Operations,david.wilson@nycinsuranceco.com,NYC188978
Margaret Patel,Underwriter,Operations,margaret.patel@nycinsuranceco.com,NYC760615
Anna Chavez,Compliance Officer,Underwriting,anna.chavez@nycinsuranceco.com,NYC876835
Valerie Roberson,Policy Administrator,Operations,valerie.roberson@nycinsuranceco.com,NYC890686
Sharon Martinez,Sales Executive,Claims,sharon.martinez@nycinsuranceco.com,NYC308873
Penny Taylor,Risk Manager,Underwriting,penny.taylor@nycinsuranceco.com,NYC945466
Ashley Carlson,Sales Executive,Claims,ashley.carlson@nycinsuranceco.com,NYC848265
Nicholas Perkins,Account Manager,Underwriting,nicholas.perkins@nycinsuranceco.com,NYC639513
Wendy Brown,Policy Administrator,Claims,wendy.brown@nycinsuranceco.com,NYC101605
Melanie Walker,Client Services Manager,Sales,melanie.walker@nycinsuranceco.com,NYC648965
Max Williams,Claims Adjuster,Sales,max.williams@nycinsuranceco.com,NYC480498
Charles Mcdonald,Client Services Manager,Risk Management,charles.mcdonald@nycinsuranceco.com,NYC849438
Jason Fritz,Policy Administrator,Claims,jason.fritz@nycinsuranceco.com,NYC905486
Larry Campbell,Risk Analyst,Operations,larry.campbell@nycinsuranceco.com,NYC483334
Jennifer Jordan,Actuary,Sales,jennifer.jordan@nycinsuranceco.com,NYC361690
Jason Larsen,Client Services Manager,Operations,jason.larsen@nycinsuranceco.com,NYC899721
Jamie Clark,Compliance Officer,Underwriting,jamie.clark@nycinsuranceco.com,NYC823318
Charles Chapman,Insurance Advisor,Underwriting,charles.chapman@nycinsuranceco.com,NYC955195
Jennifer Barrera,Policy Administrator,Operations,jennifer.barrera@nycinsuranceco.com,NYC447243
Richard Hernandez,Client Services Manager,Claims,richard.hernandez@nycinsuranceco.com,NYC354518
Whitney Deleon,Sales Executive,Risk Management,whitney.deleon@nycinsuranceco.com,NYC440423
Jeanne Romero,Claims Adjuster,Underwriting,jeanne.romero@nycinsuranceco.com,NYC424366
Melissa Reid,Claims Examiner,Operations,melissa.reid@nycinsuranceco.com,NYC961135
Ashley Davis,Client Services Manager,Sales,ashley.davis@nycinsuranceco.com,NYC570084
Leah Stewart,Actuary,Sales,leah.stewart@nycinsuranceco.com,NYC960754
Jennifer Patterson,Claims Specialist,Risk Management,jennifer.patterson@nycinsuranceco.com,NYC683729
Zachary Black,Compliance Officer,Claims,zachary.black@nycinsuranceco.com,NYC777336
Thomas Schmitt,Broker,Underwriting,thomas.schmitt@nycinsuranceco.com,NYC378016
Dr. Jason Newman MD,Insurance Advisor,Claims,dr..jason.newman.md@nycinsuranceco.com,NYC127620
Jessica Maddox,Client Services Manager,Risk Management,jessica.maddox@nycinsuranceco.com,NYC866563
Nancy Smith,Account Manager,Sales,nancy.smith@nycinsuranceco.com,NYC788398
Karen Allen,Claims Adjuster,Compliance,karen.allen@nycinsuranceco.com,NYC123385
Kimberly Fuller,Underwriter,Compliance,kimberly.fuller@nycinsuranceco.com,NYC778400
Brent Davis,Claims Examiner,Risk Management,brent.davis@nycinsuranceco.com,NYC592513
Shelby Neal,Sales Executive,Operations,shelby.neal@nycinsuranceco.com,NYC375624
Destiny Delgado,Compliance Officer,Operations,destiny.delgado@nycinsuranceco.com,NYC668271
Christopher Phillips,Account Manager,Client Services,christopher.phillips@nycinsuranceco.com,NYC703042
Peter Sims,Underwriter,Client Services,peter.sims@nycinsuranceco.com,NYC583526
Jessica Holder,Claims Examiner,Sales,jessica.holder@nycinsuranceco.com,NYC316310
Tracy Orozco,Compliance Officer,Claims,tracy.orozco@nycinsuranceco.com,NYC170801
Daniel Hernandez,Underwriting Assistant,Sales,daniel.hernandez@nycinsuranceco.com,NYC818602
Steven Rodriguez,Account Manager,Compliance,steven.rodriguez@nycinsuranceco.com,NYC653377
Victoria Harris,Risk Manager,Sales,victoria.harris@nycinsuranceco.com,NYC895924
Benjamin Davis,Client Services Manager,Underwriting,benjamin.davis@nycinsuranceco.com,NYC910004
John Estrada,Actuary,Risk Management,john.estrada@nycinsuranceco.com,NYC681863
